DNA_code	Lon_X	Lat_Y	Propositus_Assigned_Bishopric	Longitude_F	Latitude_F	Longitude_M	Latitude_M	Longitude_GF_F	Latitude_GF_F	Longitude_GM_F	Latitude_GM_F	Longitude_GF_M	Latitude_GF_M	Longitude_GM_M	Latitude_GM_M
H132	1.722596	42.065661	Solsona	1.76738	42.05376	1.640491	41.99071	1.76738	42.05376	1.76738	42.05376	1.59037	42.136525	1.765254	42.0186
H133	1.857471	42.012348	Solsona	1.883623	42.034214	1.883623	42.034214	1.883623	42.034214	1.883623	42.034214	1.779014	41.94675	1.883623	42.034214
H134	1.928727	42.137344	Solsona	1.928727	42.137344	1.928727	42.137344	1.928727	42.137344	1.928727	42.137344	1.928727	42.137344	1.928727	42.137344
H135	1.844025	42.103289	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289
H137	1.834666	42.090349	Solsona	1.844025	42.103289	1.825308	42.07741	1.844025	42.103289	1.844025	42.103289	1.825308	42.07741	1.825308	42.07741
H139	1.749068	42.013148	Solsona	1.7354	42.01778	1.681446	41.913743	1.7354	42.01778	1.844025	42.103289	1.681446	41.913743	1.7354	42.01778
H140	1.795281	42.048005	Solsona	1.825308	42.07741	1.765254	42.0186	1.825308	42.07741	1.825308	42.07741	1.765254	42.0186	1.765254	42.0186
H143	1.810294	42.062708	Solsona	1.825308	42.07741	1.825308	42.07741	1.825308	42.07741	1.825308	42.07741	1.825308	42.07741	1.765254	42.0186
H145	1.867395	42.157605	Solsona	1.945347	42.173424	1.86811	42.16842	1.86525	42.125162	1.86811	42.16842	1.86811	42.16842	1.86811	42.16842
H146	1.816804	42.075741	Solsona	1.842593	42.013714	1.338738	42.202381	1.842593	42.013714	1.842593	42.013714	1.771666	42.160386	1.810363	42.115148
H147	1.867446	42.01718	Solsona	1.844025	42.103289	1.883623	42.034214	-4.779152	37.88473	1.844025	42.103289	1.879157	41.974126	1.879157	41.974126
H148	1.827502	42.116259	Solsona	1.879157	41.974126	1.802585	42.19253	1.879157	41.974126	1.825682	42.10585	1.802585	42.19253	1.802585	42.19253
H152	1.834854	42.10457	Solsona	1.844025	42.103289	1.844025	42.103289	1.825682	42.10585	1.825682	42.10585	1.844025	42.103289	1.844025	42.103289
H158	1.852448	42.15518	Solsona	1.945347	42.173424	1.928727	42.137344	1.945347	42.173424	1.945347	42.173424	1.59037	42.136525	1.928727	42.137344
H159	1.851303	42.106193	Solsona	1.844025	42.103289	1.883623	42.034214	ND	ND	1.786663	42.250152	1.883623	42.034214	1.883623	42.034214
H162	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H163	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H167	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H168	1.822175	42.123485	Solsona	1.859404	42.146664	1.844025	42.103289	1.859404	42.146664	1.763096	42.120502	2.176349	41.384247	1.844025	42.103289
H171	1.818734	41.97007	Solsona	1.879157	41.974126	1.842593	42.013714	1.879157	41.974126	1.776592	41.94622	1.842593	42.013714	1.776592	41.94622
H173	1.83757	42.128447	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.818207	42.203923	1.844025	42.103289
H175	1.90953	42.02275	Solsona	1.842593	42.013714	1.883623	42.034214	1.842593	42.013714	2.02828	42.008858	1.883623	42.034214	1.883623	42.034214
H176	1.873966	42.182977	Solsona	1.802585	42.19253	1.802585	42.19253	1.945347	42.173424	1.945347	42.173424	1.802585	42.19253	1.802585	42.19253
H178	1.660438	42.236669	Urgell	1.660438	42.236669	1.660438	42.236669	1.660438	42.236669	1.660438	42.236669	1.660438	42.236669	1.660438	42.236669
H179	1.701851	41.992732	Solsona	1.7354	42.01778	1.668302	41.967684	1.7354	42.01778	1.7354	42.01778	1.668302	41.967684	1.668302	41.967684
H180	1.850741	42.174146	Solsona	1.859404	42.146664	1.003272	42.182747	1.836583	42.180991	1.859404	42.146664	1.853489	42.184465	1.853489	42.184465
H181	1.845588	42.075217	Solsona	1.865867	42.073024	1.865867	42.073024	1.825308	42.07741	1.825308	42.07741	1.865867	42.073024	1.865867	42.073024
H185	1.918022	42.129828	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	2.195042	42.201759	1.825682	42.10585
H186	1.804306	42.013105	Solsona	1.842593	42.013714	1.765254	42.0186	1.842593	42.013714	1.842593	42.013714	1.779014	41.94675	1.753024	42.078243
H27	1.931376	42.233816	Solsona	1.863364	42.25188	2.024025	42.187196	1.863364	42.25188	1.863364	42.25188	1.974749	42.244308	2.024025	42.187196
H28	1.901308	42.22221	Solsona	1.901308	42.22221	1.901308	42.22221	1.901308	42.22221	1.901308	42.22221	1.901308	42.22221	1.901308	42.22221
H29	1.844025	42.103289	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289
H30	1.89121	42.249987	Solsona	1.863364	42.25188	1.863364	42.25188	1.863364	42.25188	1.863364	42.25188	1.863364	42.25188	1.974749	42.244308
H31	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H33	1.928094	41.977829	Solsona	1.977026	42.003767	1.781296	41.900012	1.977026	42.003767	1.977026	42.003767	1.781296	41.900012	1.977026	42.003767
H36	1.834666	42.090349	Solsona	1.844025	42.103289	1.844025	42.103289	1.825308	42.07741	1.844025	42.103289	1.825308	42.07741	1.844025	42.103289
H42	1.834344	42.137985	Solsona	1.901308	42.22221	1.842593	42.013714	1.901308	42.22221	1.901308	42.22221	1.76738	42.05376	1.76738	42.05376
H43	1.808581	42.161259	Solsona	1.763096	42.120502	0.816635	42.152329	1.810363	42.115148	1.810363	42.115148	1.777015	42.233748	1.836583	42.180991
H45	2.190826	42.201274	Vic	2.190826	42.201274	2.190826	42.201274	2.190826	42.201274	2.190826	42.201274	2.190826	42.201274	2.190826	42.201274
H46	1.922842	42.081242	Solsona	1.825308	42.07741	1.928727	42.137344	2.02828	42.008858	1.825308	42.07741	1.844025	42.103289	1.993754	42.13541
H47	1.878558	42.088631	Solsona	1.863364	42.25188	1.883623	42.034214	1.883623	42.034214	1.863364	42.25188	1.883623	42.034214	1.883623	42.034214
H50	2.104371	42.174848	Vic	1.883623	42.034214	2.365457	42.312888	1.973828	42.105828	1.973828	42.105828	2.365457	42.312888	-0.037507	41.23639
H51	1.835234	41.986944	Solsona	1.879157	41.974126	1.842593	42.013714	1.842593	42.013714	1.842593	42.013714	1.879157	41.974126	1.776592	41.94622
H52	1.779725	42.081476	Solsona	1.883623	42.034214	1.763096	42.120502	1.883623	42.034214	1.883623	42.034214	1.763096	42.120502	1.588558	42.136974
H54	1.749218	42.078398	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.519824	41.99604	1.825682	42.10585	1.825682	42.10585
H59	1.813909	42.003199	Solsona	1.842593	42.013714	1.842593	42.013714	1.669141	41.763158	1.901308	42.22221	1.842593	42.013714	1.842593	42.013714
H60	1.825682	42.10585	Solsona	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H61	1.874623	42.08046	Solsona	1.883623	42.034214	1.844025	42.103289	1.905221	42.057632	1.905221	42.057632	1.844025	42.103289	1.844025	42.103289
H62	1.836681	42.086481	Solsona	1.928727	42.137344	1.825308	42.07741	1.928727	42.137344	1.825308	42.07741	1.825308	42.07741	1.76738	42.05376
H63	1.743889	42.101501	Solsona	1.859404	42.146664	1.859404	42.146664	1.818207	42.203923	1.437833	41.77595	1.901308	42.22221	1.818207	42.203923
H65	1.794595	42.057849	Solsona	1.993754	42.13541	0.816635	42.152329	1.993754	42.13541	1.51146	41.734003	1.836583	42.180991	1.836583	42.180991
H68	1.864207	42.188781	Solsona	0.816635	42.152329	1.891831	42.196571	1.836583	42.180991	1.836583	42.180991	1.891831	42.196571	1.891831	42.196571
H70	1.799728	42.240599	Solsona	1.863364	42.25188	1.736093	42.229318	1.863364	42.25188	1.863364	42.25188	1.736093	42.229318	1.736093	42.229318
H72	2.010362	42.153805	Solsona	1.825308	42.07741	2.167777	42.306283	1.825682	42.10585	1.825682	42.10585	2.195042	42.201759	2.195042	42.201759
H73	1.900088	41.968798	Solsona	1.842593	42.013714	1.879157	41.974126	1.842593	42.013714	1.842593	42.013714	1.879157	41.974126	2.036008	41.873639
H78	1.844025	42.103289	Solsona	2.176349	41.384247	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289
H79	1.807143	42.065653	Solsona	1.844025	42.103289	1.842593	42.013714	1.810363	42.115148	1.810363	42.115148	1.842593	42.013714	1.765254	42.0186
H8	2.03778	42.047094	Vic	2.189103	41.915235	1.973828	42.105828	2.195042	42.201759	2.195042	42.201759	1.784008	41.78109	1.977026	42.003767
H82	1.881172	42.116397	Solsona	1.945347	42.173424	1.825308	42.07741	1.945347	42.173424	1.928727	42.137344	1.825308	42.07741	1.825308	42.07741
H85	1.930132	42.191973	Solsona	1.945347	42.173424	1.974749	42.244308	1.945347	42.173424	1.974749	42.244308	1.974749	42.244308	1.825682	42.10585
H88	1.661806	42.063587	Solsona	1.883623	42.034214	1.842593	42.013714	1.865867	42.073024	1.865867	42.073024	1.802585	42.19253	1.112902	41.915769
H90	1.736093	42.229318	Solsona	1.736093	42.229318	1.736093	42.229318	1.736093	42.229318	1.736093	42.229318	1.736093	42.229318	1.736093	42.229318
H92	1.789712	42.060534	Solsona	1.7354	42.01778	1.844025	42.103289	1.7354	42.01778	1.7354	42.01778	1.844025	42.103289	1.844025	42.103289
H94	1.817042	42.134796	Solsona	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289	1.736093	42.229318	1.844025	42.103289	1.844025	42.103289
H97	1.825682	42.10585	Solsona	1.865867	42.073024	1.802585	42.19253	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585	1.825682	42.10585
H99	1.827167	42.064021	Solsona	1.826991	41.723127	1.844025	42.103289	1.776592	41.94622	1.844025	42.103289	1.844025	42.103289	1.844025	42.103289
OL1	2.596469	42.230098	Girona	2.596469	42.230098	2.596469	42.230098	2.596469	42.230098	2.596469	42.230098	2.596469	42.230098	2.596469	42.230098
OL100	2.536928	42.05562	Girona	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562
OL103	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL107	2.490142	42.16598	Girona	2.488166	42.181838	2.488166	42.181838	2.408613	42.187652	2.408613	42.187652	2.571671	42.144307	2.571671	42.144307
OL109	2.575698	42.063149	Girona	2.614468	42.070678	2.601808	42.010074	2.614468	42.070678	2.614468	42.070678	2.536928	42.05562	2.536928	42.05562
OL111	2.49811	42.128757	Girona	2.488166	42.181838	2.508055	42.075676	2.488166	42.181838	2.488166	42.181838	2.508055	42.075676	2.508055	42.075676
OL112	2.550427	42.131782	Girona	2.529182	42.119257	2.571671	42.144307	2.529182	42.119257	2.529182	42.119257	2.571671	42.144307	2.571671	42.144307
OL119	2.489725	42.242191	Girona	2.526963	42.27296	2.452487	42.211421	2.526963	42.27296	2.526963	42.27296	2.452487	42.211421	2.452487	42.211421
OL122	2.456992	42.183509	Girona	2.513046	42.213495	2.400939	42.153523	2.513046	42.213495	2.513046	42.213495	2.400939	42.153523	2.400939	42.153523
OL125	2.571671	42.144307	Girona	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307
OL126	2.508055	42.075676	Girona	2.508055	42.075676	2.508055	42.075676	2.508055	42.075676	2.508055	42.075676	2.508055	42.075676	2.508055	42.075676
OL127	2.439681	42.149449	Girona	2.439681	42.149449	2.439681	42.149449	2.439681	42.149449	2.439681	42.149449	2.439681	42.149449	2.439681	42.149449
OL128	2.564139	42.153125	Girona	2.488166	42.181838	2.640112	42.124412	2.488166	42.181838	2.488166	42.181838	2.640112	42.124412	2.640112	42.124412
OL129	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL130	2.605891	42.13436	Girona	2.640112	42.124412	2.571671	42.144307	2.640112	42.124412	2.640112	42.124412	2.571671	42.144307	2.571671	42.144307
OL132	2.498693	42.167411	Girona	2.517503	42.180776	2.461075	42.14068	2.517503	42.180776	2.517503	42.180776	2.461075	42.14068	ND	ND
OL134	2.473753	42.149813	Girona	2.487967	42.168355	2.459341	42.117787	2.488166	42.181838	2.488166	42.181838	2.459341	42.117787	2.459341	42.117787
OL137	2.529269	42.097207	Girona	2.508055	42.075676	2.571671	42.144307	2.508055	42.075676	2.46568	42.024536	2.571671	42.144307	2.571671	42.144307
OL139	2.512547	42.118729	Girona	2.488166	42.181838	2.536928	42.05562	2.488166	42.181838	2.488166	42.181838	2.536928	42.05562	2.536928	42.05562
OL14	2.419996	42.121468	Girona	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468
OL142	2.410306	42.18818	Girona	2.517503	42.180776	2.303109	42.195583	2.517503	42.180776	2.517503	42.180776	2.303109	42.195583	2.303109	42.195583
OL143	2.419996	42.121468	Girona	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468	2.419996	42.121468
OL144	2.56231	42.184422	Girona	2.577524	42.173222	2.547096	42.195622	2.577524	42.173222	2.577524	42.173222	2.547096	42.195622	2.547096	42.195622
OL146	2.470326	42.19663	Girona	2.488166	42.181838	2.452487	42.211421	2.488166	42.181838	2.488166	42.181838	2.452487	42.211421	2.452487	42.211421
OL149	2.488166	42.181838	Girona	2.488166	42.181838	2.400939	42.153523	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL15	2.571671	42.144307	Girona	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307
OL152	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL153	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL154	2.449883	42.102311	Girona	2.449883	42.102311	2.449883	42.102311	2.449883	42.102311	2.449883	42.102311	2.449883	42.102311	2.449883	42.102311
OL155	2.52063	42.24236	Girona	2.596469	42.230098	2.554621	42.218285	2.596469	42.230098	2.607548	42.212956	2.513046	42.213495	2.365457	42.312888
OL156	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL157	2.470326	42.19663	Girona	2.452487	42.211421	2.488166	42.181838	2.452487	42.211421	2.452487	42.211421	2.488166	42.181838	2.488166	42.181838
OL158	2.488166	42.181838	Girona	2.513046	42.213495	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL16	2.45312	42.170839	Girona	2.459341	42.117787	2.461075	42.14068	2.459341	42.117787	2.459341	42.117787	2.607548	42.212956	2.28625	42.234825
OL161	2.525279	42.134107	Girona	2.513046	42.213495	2.536928	42.05562	2.517503	42.180776	2.517503	42.180776	2.529182	42.119257	2.536928	42.05562
OL163	2.500917	42.163428	Girona	2.513046	42.213495	2.497349	42.207304	ND	ND	2.508055	42.075676	2.497349	42.207304	2.497349	42.207304
OL165	2.644707	42.125726	Girona	2.488166	42.181838	2.614468	42.070678	2.640112	42.124412	2.709781	42.237136	2.614468	42.070678	2.614468	42.070678
OL168	2.387208	42.208332	Girona	2.488166	42.181838	-7.454874	43.553409	2.488166	42.181838	2.488166	42.181838	2.28625	42.234825	2.28625	42.234825
OL17	2.454081	42.151653	Girona	2.488166	42.181838	2.419996	42.121468	2.488166	42.181838	2.488166	42.181838	2.419996	42.121468	2.419996	42.121468
OL170	2.504122	42.296656	Girona	2.526963	42.27296	2.481281	42.320352	2.526963	42.27296	2.526963	42.27296	2.481281	42.320352	2.481281	42.320352
OL171	2.492757	42.194571	Girona	2.488166	42.181838	2.497349	42.207304	2.488166	42.181838	2.488166	42.181838	2.497349	42.207304	2.497349	42.207304
OL172	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL175	2.516606	42.191699	Girona	2.554621	42.218285	2.488166	42.181838	2.554621	42.218285	2.554621	42.218285	2.517503	42.180776	2.439681	42.149449
OL177	2.507701	42.1592	Girona	2.571671	42.144307	2.443731	42.174093	2.571671	42.144307	2.571671	42.144307	2.443731	42.174093	2.443731	42.174093
OL181	2.49335	42.169562	Girona	2.461075	42.14068	2.452487	42.211421	2.461075	42.14068	2.488166	42.181838	2.452487	42.211421	2.571671	42.144307
OL184	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL186	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL187	2.658664	42.225046	Girona	2.607548	42.212956	2.709781	42.237136	2.607548	42.212956	2.607548	42.212956	2.709781	42.237136	2.709781	42.237136
OL188	2.652771	42.244181	Girona	2.607548	42.212956	2.3	41.65	2.596469	42.230098	2.595054	42.272354	2.709781	42.237136	2.709781	42.237136
OL189	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL19	2.507701	42.1592	Girona	2.443731	42.174093	2.571671	42.144307	2.443731	42.174093	2.443731	42.174093	2.571671	42.144307	2.571671	42.144307
OL190	2.547857	42.197397	Girona	2.488166	42.181838	2.607548	42.212956	2.488166	42.181838	2.488166	42.181838	2.607548	42.212956	2.607548	42.212956
OL191	2.571671	42.144307	Girona	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307	2.571671	42.144307
OL193	2.410468	42.137495	Girona	2.400939	42.153523	2.419996	42.121468	2.400939	42.153523	2.400939	42.153523	2.419996	42.121468	2.419996	42.121468
OL194	2.544587	42.162542	Girona	2.517503	42.180776	2.517503	42.180776	2.571671	42.144307	2.571671	42.144307	2.517503	42.180776	2.517503	42.180776
OL195	2.492393	42.19981	Girona	2.452487	42.211421	2.517503	42.180776	2.452487	42.211421	2.452487	42.211421	2.547096	42.195622	2.517503	42.180776
OL196	2.512547	42.118729	Girona	2.488166	42.181838	2.536928	42.05562	2.488166	42.181838	2.488166	42.181838	2.536928	42.05562	2.536928	42.05562
OL2	2.476044	42.173741	Girona	2.439681	42.149449	2.452487	42.211421	2.439681	42.149449	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL200	2.463644	42.136037	Girona	2.488166	42.181838	2.408613	42.187652	2.46568	42.024536	2.571671	42.144307	2.408613	42.187652	2.408613	42.187652
OL201	2.439088	42.121412	Girona	2.449883	42.102311	2.428293	42.140513	2.449883	42.102311	2.449883	42.102311	2.428293	42.140513	2.428293	42.140513
OL202	2.429248	42.144982	Girona	2.449883	42.102311	2.488166	42.181838	2.449883	42.102311	2.449883	42.102311	2.408613	42.187652	2.408613	42.187652
OL203	2.459341	42.117787	Girona	2.459341	42.117787	2.459341	42.117787	2.459341	42.117787	2.459341	42.117787	2.459341	42.117787	2.459341	42.117787
OL204	2.502253	42.206879	Girona	2.554621	42.218285	2.554621	42.218285	2.28625	42.234825	2.554621	42.218285	2.596469	42.230098	2.571671	42.144307
OL207	2.519459	42.247192	Girona	2.481281	42.320352	2.66846	42.019776	2.481281	42.320352	2.481281	42.320352	2.714335	42.194543	2.400939	42.153523
OL208	2.636113	42.223389	Girona	2.641949	42.213078	2.630278	42.2337	2.641949	42.213078	2.641949	42.213078	2.630278	42.2337	2.630278	42.2337
OL210	2.544587	42.162542	Girona	2.517503	42.180776	2.571671	42.144307	2.517503	42.180776	2.517503	42.180776	2.571671	42.144307	2.571671	42.144307
OL211	2.497151	42.183867	Girona	2.554621	42.218285	2.439681	42.149449	2.554621	42.218285	2.554621	42.218285	2.439681	42.149449	2.439681	42.149449
OL212	2.495879	42.146361	Girona	2.461075	42.14068	2.497349	42.207304	2.461075	42.14068	2.536928	42.05562	2.488166	42.181838	2.497349	42.207304
OL22	2.515555	42.061682	Girona	2.508055	42.075676	2.529182	42.119257	2.508055	42.075676	2.516928	41.976118	2.529182	42.119257	2.508055	42.075676
OL24	2.460149	42.163442	Girona	2.443731	42.174093	2.439681	42.149449	2.443731	42.174093	2.517503	42.180776	2.439681	42.149449	2.439681	42.149449
OL29	2.477855	42.191637	Girona	2.408613	42.187652	2.547096	42.195622	2.408613	42.187652	2.408613	42.187652	2.547096	42.195622	2.547096	42.195622
OL3	2.500606	42.197667	Girona	2.488166	42.181838	2.488166	42.181838	2.513046	42.213495	2.513046	42.213495	2.488166	42.181838	2.488166	42.181838
OL36	2.426811	42.247363	Girona	2.176349	41.384247	2.488166	42.181838	2.365457	42.312888	2.365457	42.312888	2.488166	42.181838	2.488166	42.181838
OL44	2.464099	42.223952	Girona	2.554621	42.218285	2.641949	42.213078	2.28625	42.234825	2.28625	42.234825	2.641949	42.213078	2.641949	42.213078
OL46	2.400939	42.153523	Girona	2.400939	42.153523	2.400939	42.153523	2.400939	42.153523	2.400939	42.153523	2.400939	42.153523	2.400939	42.153523
OL47	2.507701	42.1592	Girona	2.571671	42.144307	2.443731	42.174093	2.571671	42.144307	2.571671	42.144307	2.443731	42.174093	2.443731	42.174093
OL48	2.564139	42.153125	Girona	2.488166	42.181838	2.640112	42.124412	2.488166	42.181838	2.488166	42.181838	2.640112	42.124412	2.640112	42.124412
OL49	2.704222	42.218763	Girona	2.698663	42.20039	2.709781	42.237136	2.698663	42.20039	2.698663	42.20039	2.709781	42.237136	2.709781	42.237136
OL51	2.553615	42.156464	Girona	2.517503	42.180776	2.365457	42.312888	2.176349	41.384247	2.517503	42.180776	2.571671	42.144307	2.571671	42.144307
OL58	2.649717	42.219862	Girona	2.744813	42.22144	2.554621	42.218285	2.744813	42.22144	2.744813	42.22144	2.554621	42.218285	2.554621	42.218285
OL60	2.460208	42.129234	Girona	2.461075	42.14068	2.459341	42.117787	2.461075	42.14068	2.461075	42.14068	2.459341	42.117787	2.459341	42.117787
OL63	2.577322	42.204289	Girona	2.547096	42.195622	2.607548	42.212956	2.547096	42.195622	2.547096	42.195622	2.607548	42.212956	2.607548	42.212956
OL64	2.536928	42.05562	Girona	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562	2.536928	42.05562
OL65	2.455813	42.268454	Girona	2.36724	42.26232	2.488166	42.181838	2.316839	42.316476	2.452487	42.211421	2.526963	42.27296	2.526963	42.27296
OL68	2.656924	42.120832	Girona	2.687677	42.125648	2.999273	41.974791	2.687677	42.125648	2.659794	42.108855	2.640112	42.124412	2.640112	42.124412
OL69	2.538875	42.275225	Girona	2.488166	42.181838	2.481281	42.320352	2.596469	42.230098	2.596469	42.230098	2.481281	42.320352	2.481281	42.320352
OL70	2.461075	42.14068	Girona	2.461075	42.14068	2.443731	42.174093	2.461075	42.14068	2.461075	42.14068	2.461075	42.14068	2.461075	42.14068
OL73	2.458452	42.127622	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.448547	42.109551	2.448547	42.109551	2.448547	42.109551
OL76	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL79	2.452487	42.211421	Girona	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421	2.452487	42.211421
OL80	2.49599	42.147897	Girona	2.419996	42.121468	2.419996	42.121468	2.571671	42.144307	2.571671	42.144307	2.439681	42.149449	2.400939	42.153523
OL82	2.488166	42.181838	Girona	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838	2.488166	42.181838
OL85	2.420153	42.136477	Girona	2.419996	42.121468	2.439681	42.149449	2.419996	42.121468	2.419996	42.121468	2.439681	42.149449	2.400939	42.153523
OL86	2.48706	42.177088	Girona	2.461075	42.14068	2.513046	42.213495	2.461075	42.14068	2.461075	42.14068	2.513046	42.213495	2.513046	42.213495
